Element Name,Windows NT,Windows,Windows CE,Win32s,Component,Component Version,Header File,Import Library,Unicode,Element Type
ADsBuildEnumerator,4.0 or later,,,,ADSI,,adshlp.h,,,function
ADsBuildVarArrayInt,4.0 or later,,,,ADSI,,adshlp.h,,,function
ADsBuildVarArrayStr,4.0 or later,,,,ADSI,,adshlp.h,,,function
ADsEnumerateNext,4.0 or later,,,,ADSI,,adshlp.h,,,function
ADsFreeEnumerator,4.0 or later,,,,ADSI,,adshlp.h,,,function
ADsGetLastError,4.0 or later,,,,ADSI,,adshlp.h,,,function
ADsGetObject,4.0 or later,,,,ADSI,,adshlp.h,,,function
ADsOpenObject,4.0 or later,,,,ADSI,,adshlp.h,,,function
ADsSetLastError,4.0 or later,,,,ADSI,,adshlp.h,,,function
IADs::Get,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADs::GetInfo,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADs::GetInfoEx,4.0 SP2 or later,,,,ADSI,,iads.h,,,interface method
IADs::Put,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADs::SetInfo,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADs::SetInfoEx,4.0 SP2 or later,,,,ADSI,,iads.h,,,interface method
IADsClass::Qualifiers,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsCollection::Add,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsCollection::get_NewEnum,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsCollection::GetObject,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsCollection::Remove,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsComputerOperations,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsComputerOperations::Shutdown,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsContainer::CopyHere,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsContainer::Create,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsContainer::Delete,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsContainer::get_NewEnum,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsContainer::GetObject,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsContainer::MoveHere,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsFileServiceOperations::Resources,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsFileServiceOperations::Sessions,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsGroup::Add,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsGroup::IsMember,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsGroup::Members,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsGroup::Remove,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsMembers::get_NewEnum,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsOpenDSObject::OpenDSObject,4.0 SP2 or later,,,,ADSI,,iads.h,,,interface method
IADsPrintJobOperations::Pause,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsPrintJobOperations::Resume,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsPrintQueueOperations::Pause,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsPrintQueueOperations::PrintJobs,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsPrintQueueOperations::Purge,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsPrintQueueOperations::Resume,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsProperty::Qualifiers,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsServiceOperations::Continue,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsServiceOperations::Pause,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsServiceOperations::SetPassword,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsServiceOperations::Start,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsServiceOperations::Stop,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsUser::ChangePassword,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsUser::Groups,4.0 or later,,,,ADSI,,iads.h,,,interface method
IADsUser::SetPassword,4.0 or later,,,,ADSI,,iads.h,,,interface method
ADSI Collection Object,4.0 or later,,,,ADSI,,,,,object
ADSI Computer Object,4.0 or later,,,,ADSI,,,,,object
ADSI Container Object,4.0 or later,,,,ADSI,,,,,object
ADSI Country Object,4.0 or later,,,,ADSI,,,,,object
ADSI Domain Object,4.0 or later,,,,ADSI,,,,,object
ADSI Enumerator Object,4.0 or later,,,,ADSI,,,,,object
ADSI FileShare Object,4.0 or later,,,,ADSI,,,,,object
ADSI Group Object,4.0 or later,,,,ADSI,,,,,object
ADSI Locality Object,4.0 or later,,,,ADSI,,,,,object
ADSI Members Object,4.0 or later,,,,ADSI,,,,,object
ADSI Namespace Object,4.0 or later,,,,ADSI,,,,,object
ADSI Namespaces Object,4.0 or later,,,,ADSI,,,,,object
ADSI Object,4.0 or later,,,,ADSI,,,,,object
ADSI Organization Object,4.0 or later,,,,ADSI,,,,,object
ADSI OrganizationalUnit Object,4.0 or later,,,,ADSI,,,,,object
ADSI PrintJob Object,4.0 or later,,,,ADSI,,,,,object
ADSI PrintQueue Object,4.0 or later,,,,ADSI,,,,,object
ADSI Property Object,4.0 or later,,,,ADSI,,,,,object
ADSI Resource Object,4.0 or later,,,,ADSI,,,,,object
ADSI Schema Class Object,4.0 or later,,,,ADSI,,,,,object
ADSI Schema Container Object,4.0 or later,,,,ADSI,,,,,object
ADSI Service Object,4.0 or later,,,,ADSI,,,,,object
ADSI Session Object,4.0 or later,,,,ADSI,,,,,object
ADSI Syntax Object,4.0 or later,,,,ADSI,,,,,object
ADSI User Object,4.0 or later,,,,ADSI,,,,,object
BPCVid.BlackedOut,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.CAFail,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.CAFault,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.CannotPurchase,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.CardInvalid,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.CardMissing,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.CASuccess,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.Click,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.ColdStart,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.CopyCard,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.CostExceeded,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.DblClick,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.EPGFilterChanged,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.Error,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.ErrorMessage,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.GotControl,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.HandlePurchaseOffer,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.KeyDown,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.KeyPress,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.KeyUp,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.LostControl,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
BPCVid.MouseDown,,Windows 98,,,Broadcast Architecture,,Vidsvr.odl,Vid.ocx,,event
